test,test,test
0,Tokyo,The main station façade on the western side of the station is brick-built; surviving from the time when the station opened in 1914. The main station consists of 10 island platforms serving 20 tracks; raised above street level running in a north-south direction. The main concourse runs east-west below the platforms. 
1,Kanda ,Kanda consists of two separate stations that form an interchange. The elevated station is operated by JR East and the underground station is operated by the Tokyo Metro. Although they are an interchange; passengers must pass through ticket barriers and pay separate fares to switch between services.
2,Akihabara,"Akihabara Station is a railway station in Tokyo's Chiyoda ward. It is at the center of the Akihabara shopping district specializing in electronic goods and animation derivatives. AKB48 is generated here. The song ""Koi Suru Fortune Cookie"" by AKB48 is to be used as the departure melody on the Hibiya Line platforms from spring 2016."
3,Okachimachi,Okachimachi Station is served by the circular Yamanote Line and also the Keihin-Tohoku Line. Although not physically connected; Naka-Okachimachi on the Tokyo Metro Hibiya Line; Ueno-hirokōji on the Tokyo Metro Ginza Line; and Ueno-okachimachi on the Toei Oedo Line are within walking distance of Okachimachi and marked as interchanges on route maps.
4,Ueno,Like most major stations in Japan; Ueno station contains and is surrounded by extensive shopping arcades. Ueno's includes a branch of the Hard Rock Cafe. Ueno zoo and Uenonomori Art gallery is famous travelling spots. 
5,Uguisudani,Uguisudani Station is a railway station in Taitō; Tokyo; Japan; operated by East Japan Railway Company (JR East). The name relates to a valley where formerly many Japanese bush warblers (uguisu) were found. Uguisudani Station is served by the Yamanote and Keihin-Tohoku lines.
6,SURPRISE!,UNDER CONSTRUCTION
7,Nippori,The station is an intersection of JR and Keisei systems. The elevated line has two side platforms serving a single track. One platform is for Skyliner; Cityliner; and Eveningliner boarding; while the other platform is for regular commuter trains. Ueno-bound trains continue to discharge on the original platform on the lower level.
8,Nishi-Nippori,Nishi-Nippori Station is a railway station in Arakawa; Tokyo; Japan; operated jointly by East Japan Railway Company (JR East) and the two Tokyo subway operators Tokyo Metro and Toei. The Nippori-Toneri Liner station is elevated and consists of a single island platform serving two tracks.
9,SURPRISE!,UNDER CONSTRUCTION
10,Tabata,Tabata Station is served by the circular Yamanote Line and Keihin-Tohoku Line. The station consists of two island platforms serving four tracks; with the Yamanote Line tracks on the inside; and Keihin-Tōhoku Line tracks on the outside. There is a south and a north exit from the station.
